@id,@lat,@lon,name,place,population,addr:district,addr:region
336140457,51.8815570,36.7332950,1-я Семеновка,village,,,
336140467,51.7740250,38.1609920,Олымский,village,2277,Касторенский район,Курская область
336140468,51.7728540,38.1159900,Новокасторное,village,1779,Касторенский район,Курская область
336140470,51.7616610,38.1799055,Котовка,village,,Касторенский район,Курская область
336140472,51.8146912,38.4969515,Старая Ведуга,village,,Семилукский район,Воронежская область
336140473,51.8170536,38.3245893,Долгуша,hamlet,,Касторенский район,Курская область
336140492,51.6792687,37.7923951,Верхняя Грайворонка,village,,,
336140498,51.6644100,36.1784060,Рышково,village,,Курский район,Курская область
336140520,51.5351026,36.1434076,1-е Панино,village,,,
336140522,51.6060750,34.9395640,Ивановское,village,2456,Рыльский район,Курская область
336140527,51.6134529,37.9202835,Ровное,hamlet,,,
336140553,51.6502484,38.3870356,Новая Ольшанка,village,,Нижнедевицкий район,Воронежская область
336140561,51.5657776,38.1859380,Кулевка,village,,Горшеченский район,Курская область
336140562,51.5351837,38.2140953,Ясенки,village,,Горшеченский район,Курская область
336140571,51.5877490,37.6112560,Верхние Апочки,village,,Советский район,Курская область
336140574,51.4268350,36.8789312,Субботино,village,,Солнцевский район,Курская область
336140585,51.4390404,35.1562164,Шептуховка,village,,Кореневский район,Курская область
336140609,51.4789003,37.8979348,Солдатское,village,,Горшеченский район,Курская область
336140612,51.3648956,37.9591157,Лапыгино,village,872,Старооскольский городской округ,Белгородская область
336140613,51.5137130,36.1821412,Амосовка,village,,Медвенский район,Курская область
336140616,51.3339810,35.5102690,Большое Солдатское,village,2681,Большесолдатский район,Курская область
336140618,51.3474465,36.0034364,Верхний Реутец,village,,Медвенский район,Курская область
336140620,51.3909956,37.9251026,Новокладовое,village,452,Старооскольский городской округ,Белгородская область
336140624,51.5066830,36.6573640,Шумаково,village,,Солнцевский район,Курская область
336140625,51.3864770,38.4705526,Синие Липяги,village,,Нижнедевицкий район,Воронежская область
336140628,51.4525030,37.1306990,Мантурово,village,,Мантуровский район,Курская область
336140632,51.3790869,38.2217684,Старомеловое,village,,Горшеченский район,Курская область
336140640,51.3980331,37.7348392,Бараново,village,,Горшеченский район,Курская область
336140643,51.4369758,35.4283295,Волоконск,village,,Большесолдатский район,Курская область
336140647,51.2870054,36.5320823,Пселец,village,,Пристенский район,Курская область
336140660,51.2873674,34.5506570,Веселое,village,,Глушковский район,Курская область
336140663,51.3109946,35.0269060,Любимовка,village,,,
336140674,51.3260299,34.6803174,Кобылки,village,,Глушковский район,Курская область
336140677,51.3294675,36.8565448,Ильинка,hamlet,,Пристенский район,Курская область
336140678,51.3151031,34.8960703,Снагость,village,,,
336140679,51.3027684,36.8397485,Сараевка,hamlet,,,
336140687,51.3466982,36.9363579,Сазановка,village,,Пристенский район,Курская область
336140692,51.2174105,36.5510853,Нагольное,village,,Пристенский район,Курская область
336140694,51.2109909,37.0753490,Уколово,village,509,Губкинский городской округ,Белгородская область
336140704,51.2258340,38.3750380,Роговатое,village,3001,Старооскольский городской округ,Белгородская область
336140705,51.2519069,38.0187027,Озерки,village,774,Старооскольский городской округ,Белгородская область
336140716,51.2577257,36.7759932,Колбасовка,hamlet,,Пристенский район,Курская область
336140718,51.2605051,38.1130561,Архангельское,village,963,Старооскольский городской округ,Белгородская область
336140719,51.2569155,36.3494326,Рудавец,village,,,
336140723,51.2919279,38.4080667,Острянка,village,,Нижнедевицкий район,Воронежская область
336140732,51.2943146,34.8601050,Апанасовка,hamlet,,,
336140825,51.2098450,35.7764706,Кривицкие Буды,village,,Беловский район,Курская область
337502593,52.1892400,34.0074960,Зарічне,village,273,,
337502692,52.1637380,34.0084530,Сорочине,village,82,,
337502697,52.1610180,34.0363310,Прогрес,village,225,,
337502795,52.1262874,34.0710892,Порохонь,village,225,,
337502822,52.1128080,34.0737760,Нововолодимирівка,village,55,,
337502859,52.1056758,34.0727277,Рожковичі,village,368,,
337503099,52.0460090,34.0730710,Об’єднане,hamlet,2,,
337503142,52.0414197,34.0919177,Микитське,hamlet,12,,
337503193,52.0298810,34.0047420,Чуйківка,village,894,,
337503351,52.0001070,34.0866320,Родіонівка,hamlet,24,,
337503406,51.9938320,34.1314320,Ломленка,hamlet,35,,
